file,function_or_class,label
github_repos\fastapi\pdm_build.py,pdm_build_initialize,used
github_repos\fastapi\docs_src\additional_responses\tutorial001.py,Item,used
github_repos\fastapi\docs_src\additional_responses\tutorial001.py,Message,used
github_repos\fastapi\docs_src\additional_responses\tutorial002.py,Item,used
github_repos\fastapi\docs_src\additional_responses\tutorial003.py,Item,used
github_repos\fastapi\docs_src\additional_responses\tutorial003.py,Message,used
github_repos\fastapi\docs_src\additional_responses\tutorial004.py,Item,used
github_repos\fastapi\docs_src\app_testing\test_main.py,test_read_main,used
github_repos\fastapi\docs_src\app_testing\tutorial001.py,test_read_main,used
github_repos\fastapi\docs_src\app_testing\tutorial002.py,test_read_main,used
github_repos\fastapi\docs_src\app_testing\tutorial002.py,test_websocket,used
github_repos\fastapi\docs_src\app_testing\tutorial003.py,test_read_items,used
github_repos\fastapi\docs_src\app_testing\tutorial004.py,test_read_items,used
github_repos\fastapi\docs_src\app_testing\app_b\main.py,Item,used
github_repos\fastapi\docs_src\app_testing\app_b\test_main.py,test_read_item,used
github_repos\fastapi\docs_src\app_testing\app_b\test_main.py,test_read_item_bad_token,used
github_repos\fastapi\docs_src\app_testing\app_b\test_main.py,test_read_nonexistent_item,used
github_repos\fastapi\docs_src\app_testing\app_b\test_main.py,test_create_item,used
github_repos\fastapi\docs_src\app_testing\app_b\test_main.py,test_create_item_bad_token,used
github_repos\fastapi\docs_src\app_testing\app_b\test_main.py,test_create_existing_item,used
github_repos\fastapi\docs_src\app_testing\app_b_an\main.py,Item,used
github_repos\fastapi\docs_src\app_testing\app_b_an\test_main.py,test_read_item,used
github_repos\fastapi\docs_src\app_testing\app_b_an\test_main.py,test_read_item_bad_token,used
github_repos\fastapi\docs_src\app_testing\app_b_an\test_main.py,test_read_nonexistent_item,used
github_repos\fastapi\docs_src\app_testing\app_b_an\test_main.py,test_create_item,used
github_repos\fastapi\docs_src\app_testing\app_b_an\test_main.py,test_create_item_bad_token,used
